;$FILEVERSION=1.1
;$STARTTIME=45937.0536003472
;
;   Start time: 07/10/2025 01:17:11.070.0
;   Generated by PCAN-View v5.3.0.942
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
     1)        11.3  Rx     180101F4  8  0B 6E 01 5A 08 5A 00 00 
     2)        12.2  Rx     1801F401  8  0C 98 08 06 85 08 0B 00 
     3)        12.2  Rx     1802F401  8  8E 08 0B 6E 00 00 00 00 
     4)        13.2  Rx     1803F401  8  0C 95 08 07 8B 08 0C 00 
     5)        13.2  Rx     1804F401  8  91 08 01 5A 00 00 00 00 
     6)        14.2  Rx     1805F401  8  0C 93 08 0B 8D 08 01 00 
     7)        14.2  Rx     1806F401  8  90 08 08 5A 00 00 00 00 
     8)        16.0  Rx     1807F401  8  00 01 60 A8 02 A0 80 00 
     9)        16.3  Rx     1808F401  8  03 09 B2 02 07 A2 02 05 
    10)        16.8  Rx     1809F401  8  00 00 00 00 00 00 00 00 
    11)        17.5  Rx     1811F401  8  8B 08 8C 08 92 08 8A 08 
    12)        18.4  Rx     1812F401  8  92 08 98 08 86 08 90 08 
    13)        18.7  Rx     1813F401  8  8F 08 8B 08 85 08 96 08 
    14)        19.2  Rx     1814F401  8  94 08 91 08 91 08 94 08 
    15)        20.5  Rx     1815F401  8  94 08 92 08 95 08 8F 08 
    16)        21.2  Rx     1816F401  8  94 08 90 08 91 08 8B 08 
    17)        21.5  Rx     1817F401  8  8D 08 91 08 8D 08 91 08 
    18)        21.9  Rx     1818F401  8  90 08 92 08 8F 08 92 08 
    19)        22.0  Rx     1819F401  8  92 08 90 08 93 08 93 08 
    20)        22.3  Rx     1821F401  8  A9 02 A8 02 A8 02 B1 02 
    21)        22.8  Rx     1822F401  8  A2 02 A3 02 B2 02 A3 02 
    22)        23.1  Rx     1823F401  8  A7 02 00 00 00 00 00 00 
    23)        23.9  Rx     1824F401  8  00 00 00 00 00 00 00 00 
    24)        24.0  Rx     1825F401  8  00 00 00 00 00 00 00 00 
    25)        25.0  Rx     1826F401  8  00 00 00 00 00 00 00 00 
    26)        25.0  Rx     1827F401  8  00 00 00 00 00 00 00 00 
    27)        26.0  Rx     1828F401  8  00 00 00 00 00 00 00 00 
    28)        26.0  Rx     1829F401  8  00 00 00 00 00 00 00 00 
    29)        27.0  Rx     182AF401  8  00 00 00 00 00 00 00 00 
    30)        28.0  Rx     182BF401  8  00 00 00 00 00 00 00 00 
    31)        28.0  Rx     182CF401  8  00 00 00 00 00 00 00 00 
    32)        29.0  Rx     18A1F401  8  07 01 00 00 2C 21 01 B8 
    33)        61.2  Rx     180101F4  8  0B 6E 01 5A 08 5A 00 00 
    34)        62.0  Rx     1801F401  8  0C 98 08 06 85 08 0B 00 
    35)        62.0  Rx     1802F401  8  8E 08 0B 6E 00 00 00 00 
    36)        63.0  Rx     1803F401  8  0C 94 08 01 8B 08 0C 00 
    37)        63.1  Rx     1804F401  8  91 08 01 5A 00 00 00 00 
    38)        64.0  Rx     1805F401  8  0C 93 08 0B 8D 08 01 00 
    39)        65.0  Rx     1806F401  8  90 08 08 5A 00 00 00 00 
    40)        65.0  Rx     1807F401  8  00 01 60 A8 02 A0 80 00 
    41)        66.0  Rx     1808F401  8  03 09 B2 02 07 A2 02 05 
    42)        66.0  Rx     1809F401  8  00 00 00 00 00 00 00 00 
    43)        67.0  Rx     1811F401  8  8B 08 8C 08 92 08 8A 08 
    44)        67.1  Rx     1812F401  8  92 08 98 08 86 08 90 08 
    45)        68.3  Rx     1813F401  8  8F 08 8B 08 85 08 96 08 
    46)        68.4  Rx     1814F401  8  94 08 91 08 91 08 94 08 
    47)        69.7  Rx     1815F401  8  94 08 92 08 94 08 8F 08 
    48)        69.7  Rx     1816F401  8  94 08 90 08 91 08 8B 08 
    49)        71.1  Rx     1817F401  8  8D 08 91 08 8D 08 91 08 
    50)        71.4  Rx     1818F401  8  90 08 92 08 8F 08 92 08 
    51)        71.5  Rx     1819F401  8  92 08 90 08 93 08 93 08 
    52)        71.6  Rx     1821F401  8  A9 02 A8 02 A8 02 B1 02 
    53)        72.3  Rx     1822F401  8  A2 02 A3 02 B2 02 A3 02 
    54)        73.4  Rx     1823F401  8  A7 02 00 00 00 00 00 00 
    55)        73.5  Rx     1824F401  8  00 00 00 00 00 00 00 00 
    56)        74.4  Rx     1825F401  8  00 00 00 00 00 00 00 00 
    57)        74.5  Rx     1826F401  8  00 00 00 00 00 00 00 00 
    58)        74.9  Rx     18120181  8  03 27 03 29 03 28 03 29 
    59)        75.4  Rx     1827F401  8  00 00 00 00 00 00 00 00 
    60)        75.5  Rx     1828F401  8  00 00 00 00 00 00 00 00 
    61)        76.5  Rx     1829F401  8  00 00 00 00 00 00 00 00 
    62)        77.1  Rx     18120281  8  03 29 03 2D 03 29 03 2B 
    63)        77.7  Rx     182AF401  8  00 00 00 00 00 00 00 00 
    64)        77.8  Rx     182BF401  8  00 00 00 00 00 00 00 00 
    65)        78.1  Rx     182CF401  8  00 00 00 00 00 00 00 00 
    66)        78.3  Rx     18120381  8  03 2C 03 2D 03 31 03 35 
    67)        79.0  Rx     18A1F401  8  07 01 00 00 2C 21 01 B8 
    68)        80.1  Rx     18120481  8  03 2A 03 2B 03 2B 03 2C 
    69)        82.9  Rx     18120581  8  03 2E 03 2D 03 28 03 2B 
    70)        84.1  Rx     18120681  8  03 2A 03 2D 03 29 03 2D 
    71)        86.0  Rx     18130181  8  0C EC 0C E2 34 33 06 32 
    72)        88.0  Rx     18130281  6  30 18 08 0D 0C 01 
    73)        90.0  Rx     18130381  8  03 35 03 27 00 0A 00 0E 
    74)       111.2  Rx     180101F4  8  0B 6E 01 5A 08 5A 00 00 
    75)       112.1  Rx     1801F401  8  0C 98 08 06 85 08 0B 00 
    76)       112.1  Rx     1802F401  8  8E 08 0B 6E 00 00 00 00 
    77)       113.1  Rx     1803F401  8  0C 95 08 07 8B 08 0C 00 
    78)       113.1  Rx     1804F401  8  91 08 01 5A 00 00 00 00 
    79)       114.1  Rx     1805F401  8  0C 93 08 0B 8D 08 01 00 
    80)       115.1  Rx     1806F401  8  90 08 08 5A 00 00 00 00 
    81)       115.1  Rx     1807F401  8  00 01 60 A8 02 A0 7F 00 
    82)       116.0  Rx     1808F401  8  03 09 B2 02 07 A2 02 05 
    83)       116.1  Rx     1809F401  8  00 00 00 00 00 00 00 00 
    84)       117.5  Rx     1811F401  8  8B 08 8C 08 92 08 8A 08 
    85)       117.9  Rx     1812F401  8  92 08 98 08 86 08 90 08 
    86)       118.7  Rx     1813F401  8  8F 08 8B 08 85 08 96 08 
    87)       119.0  Rx     1814F401  8  94 08 91 08 91 08 94 08 
    88)       119.5  Rx     1815F401  8  94 08 92 08 95 08 8F 08 
    89)       119.6  Rx     1816F401  8  94 08 90 08 91 08 8B 08 
    90)       120.3  Rx     1817F401  8  8D 08 91 08 8D 08 91 08 
    91)       120.3  Rx     1818F401  8  90 08 92 08 8F 08 92 08 
    92)       121.1  Rx     1819F401  8  92 08 90 08 93 08 93 08 
    93)       122.7  Rx     1821F401  8  A9 02 A8 02 A8 02 B1 02 
    94)       122.7  Rx     1822F401  8  A2 02 A3 02 B2 02 A3 02 
    95)       122.8  Rx     1823F401  8  A7 02 00 00 00 00 00 00 
    96)       123.6  Rx     1824F401  8  00 00 00 00 00 00 00 00 
    97)       123.7  Rx     1825F401  8  00 00 00 00 00 00 00 00 
    98)       124.6  Rx     1826F401  8  00 00 00 00 00 00 00 00 
    99)       125.7  Rx     1827F401  8  00 00 00 00 00 00 00 00 
   100)       125.7  Rx     1828F401  8  00 00 00 00 00 00 00 00 
   101)       126.6  Rx     1829F401  8  00 00 00 00 00 00 00 00 
   102)       126.7  Rx     182AF401  8  00 00 00 00 00 00 00 00 
   103)       127.3  Rx     182BF401  8  00 00 00 00 00 00 00 00 
   104)       128.4  Rx     182CF401  8  00 00 00 00 00 00 00 00 
   105)       128.5  Rx     18A1F401  8  07 01 00 00 2C 21 01 B8 
   106)       160.9  Rx     180101F4  8  0B 6E 01 5A 08 5A 00 00 
   107)       161.7  Rx     1801F401  8  0C 98 08 06 85 08 0B 00 
   108)       162.7  Rx     1802F401  8  8E 08 0B 6E 00 00 00 00 
   109)       162.7  Rx     1803F401  8  0C 95 08 07 8B 08 0C 00 
   110)       164.2  Rx     1804F401  8  91 08 01 5A 00 00 00 00 
   111)       164.3  Rx     1805F401  8  0C 93 08 0B 8D 08 01 00 
   112)       164.7  Rx     1806F401  8  90 08 08 5A 00 00 00 00 
   113)       164.7  Rx     1807F401  8  00 01 60 A8 02 A0 7F 00 
   114)       165.7  Rx     1808F401  8  03 09 B2 02 07 A2 02 05 
   115)       166.7  Rx     1809F401  8  00 00 00 00 00 00 00 00 
   116)       166.8  Rx     1811F401  8  8B 08 8C 08 92 08 8A 08 
   117)       167.9  Rx     1812F401  8  92 08 98 08 86 08 90 08 
   118)       168.1  Rx     1813F401  8  8F 08 8B 08 85 08 96 08 
   119)       168.3  Rx     1814F401  8  94 08 91 08 91 08 94 08 
   120)       170.0  Rx     1815F401  8  94 08 92 08 95 08 8F 08 
   121)       170.1  Rx     1816F401  8  94 08 90 08 91 08 8B 08 
   122)       170.3  Rx     1817F401  8  8D 08 91 08 8D 08 91 08 
   123)       170.9  Rx     1818F401  8  90 08 92 08 8F 08 92 08 
   124)       171.0  Rx     1819F401  8  92 08 90 08 93 08 93 08 
   125)       171.9  Rx     1821F401  8  A9 02 A8 02 A8 02 B1 02 
   126)       172.0  Rx     1822F401  8  A2 02 A3 02 B2 02 A3 02 
   127)       172.9  Rx     1823F401  8  A7 02 00 00 00 00 00 00 
   128)       174.0  Rx     1824F401  8  00 00 00 00 00 00 00 00 
   129)       174.1  Rx     1825F401  8  00 00 00 00 00 00 00 00 
   130)       174.9  Rx     1826F401  8  00 00 00 00 00 00 00 00 
   131)       175.0  Rx     18130181  8  0C EC 0C E2 34 33 06 32 
   132)       175.0  Rx     1827F401  8  00 00 00 00 00 00 00 00 
   133)       176.3  Rx     1828F401  8  00 00 00 00 00 00 00 00 
   134)       176.4  Rx     1829F401  8  00 00 00 00 00 00 00 00 
   135)       176.6  Rx     18130281  6  30 18 08 0D 0C 01 
   136)       177.0  Rx     182AF401  8  00 00 00 00 00 00 00 00 
   137)       177.9  Rx     182BF401  8  00 00 00 00 00 00 00 00 
   138)       178.0  Rx     182CF401  8  00 00 00 00 00 00 00 00 
   139)       178.9  Rx     18130381  8  03 35 03 27 00 0A 00 0E 
   140)       179.6  Rx     18A1F401  8  07 01 00 00 2C 21 01 B8 
   141)       211.3  Rx     180101F4  8  0B 6E 01 5A 08 5A 00 00 
   142)       212.2  Rx     1801F401  8  0C 98 08 06 85 08 0B 00 
   143)       212.2  Rx     1802F401  8  8E 08 0B 6E 00 00 00 00 
   144)       213.3  Rx     1803F401  8  0C 94 08 01 8B 08 0C 00 
   145)       213.4  Rx     1804F401  8  91 08 01 5A 00 00 00 00 
   146)       214.2  Rx     1805F401  8  0C 93 08 0B 8D 08 01 00 
   147)       214.2  Rx     1806F401  8  90 08 08 5A 00 00 00 00 
   148)       215.2  Rx     1807F401  8  00 01 60 A8 02 A0 80 00 
   149)       216.1  Rx     1808F401  8  03 09 B2 02 07 A2 02 05 
   150)       216.2  Rx     1809F401  8  00 00 00 00 00 00 00 00 
   151)       217.4  Rx     1811F401  8  8B 08 8C 08 92 08 8A 08 
   152)       217.6  Rx     1812F401  8  92 08 98 08 86 08 90 08 
   153)       218.2  Rx     1813F401  8  8F 08 8B 08 85 08 96 08 
   154)       218.2  Rx     1814F401  8  94 08 91 08 91 08 94 08 
   155)       219.2  Rx     1815F401  8  94 08 92 08 94 08 8F 08 
   156)       219.3  Rx     1816F401  8  94 08 90 08 91 08 8B 08 
   157)       220.2  Rx     1817F401  8  8D 08 91 08 8D 08 91 08 
   158)       220.3  Rx     1818F401  8  90 08 92 08 8F 08 92 08 
   159)       221.6  Rx     1819F401  8  92 08 91 08 93 08 93 08 
   160)       221.7  Rx     1821F401  8  A9 02 A8 02 A8 02 B1 02 
   161)       222.2  Rx     1822F401  8  A2 02 A3 02 B2 02 A3 02 
   162)       223.2  Rx     1823F401  8  A7 02 00 00 00 00 00 00 
   163)       223.3  Rx     1824F401  8  00 00 00 00 00 00 00 00 
   164)       224.5  Rx     1825F401  8  00 00 00 00 00 00 00 00 
   165)       224.6  Rx     1826F401  8  00 00 00 00 00 00 00 00 
   166)       225.3  Rx     1827F401  8  00 00 00 00 00 00 00 00 
   167)       226.8  Rx     1828F401  8  00 00 00 00 00 00 00 00 
   168)       227.0  Rx     1829F401  8  00 00 00 00 00 00 00 00 
   169)       227.5  Rx     182AF401  8  00 00 00 00 00 00 00 00 
   170)       227.6  Rx     182BF401  8  00 00 00 00 00 00 00 00 
   171)       228.3  Rx     182CF401  8  00 00 00 00 00 00 00 00 
   172)       229.2  Rx     18A1F401  8  07 01 00 00 2C 21 01 B8 
